pKey,JobStartDate,JobEndDate,APINumber,StateNumber,CountyNumber,OperatorName,WellName,Latitude,Longitude,Projection,TVD,TotalBaseWaterVolume,TotalBaseNonWaterVolume,StateName,CountyName,FFVersion,FederalWell,IndianWell,Source,DTMOD
3cce7505-74ed-4de0-b29e-b8ecf750f2a6,6/13/2012 12:00:00 AM,6/13/2012 12:00:00 AM,25085218340000,25,85,Oasis Petroleum,Talen 43-7H,48.099967,-104.147711,NAD83,,,,Montana,Roosevelt,1,False,False,,
e6189eaf-2318-44cd-8741-f17e8eeebd2f,6/14/2012 12:00:00 AM,6/14/2012 12:00:00 AM,25035222050000,25,35,Rosetta Resources,Tribal Little Rock Coulee 3507-27-16H,48.75547063,-112.49705809,WGS84,,,,Montana,Glacier,1,False,False,,
d847ca29-ea21-42b6-a582-c79715e8c629,6/14/2012 12:00:00 AM,6/14/2012 12:00:00 AM,25085218350000,25,85,Oasis Petroleum,Tana 43-7H,48.099967,-104.147711,NAD83,,,,Montana,Roosevelt,1,False,False,,
40c49af4-1948-48b0-b112-7217fce40565,6/14/2012 12:00:00 AM,6/14/2012 12:00:00 AM,25085218580000,25,85,Oasis Petroleum,Ring Federal 44-34H,48.131183,-104.204314,NAD27,,,,MT,Roosevelt,1,False,False,,
d1d4227e-6dfb-46af-8fb3-f483679a1f12,6/16/2012 12:00:00 AM,6/16/2012 12:00:00 AM,25083229640000,25,83,"Continental Resources, Inc",ROGNAS 3-27H,47.82721371,-104.6011656,NAD27,,,,Montana,Richland,1,False,False,,
3c185756-10a3-4716-a105-83869d98bb68,6/18/2012 12:00:00 AM,6/18/2012 12:00:00 AM,25083229200000,25,83,Fidelity Exploration & Production,Edam 15-22H,46.67207849,-107.548251249,NAD83,,,,Montana,Richland,1,False,False,,
69185d22-2ec6-46a8-91ad-bb11a761871b,6/20/2012 12:00:00 AM,6/20/2012 12:00:00 AM,25083229680000,25,83,"Continental Resources, Inc",Butterfield 1-26H,47.98097415,-104.8483909,NAD27,,,,Montana,Richland,1,False,False,,
47c6ed37-01bf-4c04-b552-c9decd30f3d1,6/22/2012 12:00:00 AM,6/22/2012 12:00:00 AM,25087217320000,25,87,Fidelity Exploration & Production,Kincheloe 11-23H,46.798389,-107.658919,NAD83,,,,Montana,Rosebud,1,False,False,,
947fb78e-a1ac-4bcb-b1d1-48fcaf8e0722,6/24/2012 12:00:00 AM,6/24/2012 12:00:00 AM,25091219060000,25,91,Marathon Oil,Rodney Sveet 21-28H,48.4192,-104.054389,NAD27,,,,Montana,Sheridan County,1,False,False,,
be0fc4b5-985f-49b8-98af-7cd8aa012b2b,6/25/2012 12:00:00 AM,6/25/2012 12:00:00 AM,25083229570000,25,83,Oasis Petroleum,Loki 2658 12-25H,47.983028,-104.175269,NAD27,,,,MT,Richland,1,False,False,,
c469fdd8-5a1b-44b2-aa00-1ac2b1c41fd1,6/28/2012 12:00:00 AM,6/28/2012 12:00:00 AM,25085217710000,25,85,"EOG Resources, Inc.",Stateline 08-3328H,48.129194,-104.098842,NAD83,,,,Montana,Roosevelt,1,False,False,,
cc7572c0-58da-48c3-abbf-0a16c2cf2a67,7/2/2012 12:00:00 AM,7/2/2012 12:00:00 AM,25083229560000,25,83,Whiting Petroleum,Salsbury 24-35-1H,47.87,-104.32,NAD83,,,,Montana,Richland County,1,False,False,,
43f9907c-31c3-40d7-b789-16e5ab7f6133,7/4/2012 12:00:00 AM,7/4/2012 12:00:00 AM,25085218410000,25,85,Whiting Petroleum,Olson 21-28TFH,48.3046,-104.445694,NAD83,,,,Montana,Roosevelt,1,False,False,,
88905374-a96d-45d8-9920-2520a7d71c23,7/8/2012 12:00:00 AM,7/8/2012 12:00:00 AM,25083229700000,25,83,"Continental Resources, Inc",Helen 3-19H,47.89735,-104.66588,NAD83,,,,Montana,Richland County,1,False,False,,
101cfcb6-1920-4b17-9b90-2e0db1253864,7/11/2012 12:00:00 AM,7/11/2012 12:00:00 AM,25035222040000,25,35,Anschutz Exploration Corporation,Flat Iron 1-8-32-12,48.54393554,-113.18928086,NAD83,,,,Montana,Glacier,1,False,False,,
3822f0b1-add9-4600-8f38-2bd9ad95ecf2,7/12/2012 12:00:00 AM,7/12/2012 12:00:00 AM,25083229040000,25,83,"Slawson Exploration Company, Inc.",Sentinel 1-22H,47.832747,-105.023475,WGS84,,,,Montana,Richland,1,False,False,,
7ac93cc4-ea1e-4ba9-b92c-a234ad1cc2cc,7/13/2012 12:00:00 AM,7/13/2012 12:00:00 AM,25085218610000,25,85,Oasis Petroleum,Jimbo 2759 12-14B,48.098689,-104.049358,NAD27,,,,,,1,False,False,,
4f85dbca-23b7-40f7-b8aa-46d24c53d791,7/14/2012 12:00:00 AM,7/14/2012 12:00:00 AM,25083228960000,25,83,"Continental Resources, Inc",Davies 1-20H,47.984132669,-104.76988107,NAD83,,,,Montana,Richland,1,False,False,,
7804303e-5a2d-442d-be5e-4628a8aef1c9,7/16/2012 12:00:00 AM,7/16/2012 12:00:00 AM,25085218550000,25,85,Whiting Petroleum,Elvsaas 21-4TFH,48.35,-104.3,NAD83,,,,Montana,Roosevelt,1,False,False,,
b260ccf3-104f-47f5-91ea-7ed29e1e5997,7/17/2012 12:00:00 AM,7/17/2012 12:00:00 AM,25085218620000,25,85,"EOG Resources, Inc.",Stateline 12-2932H,48.156514,-104.134036,NAD83,,,,Montana,Roosevelt,1,False,False,,
ba0f0243-a24e-43f0-8683-477bb3aff266,7/18/2012 12:00:00 AM,7/18/2012 12:00:00 AM,25083229930000,25,83,Oasis Petroleum,Tim Federal 2658 21-10H,48.021976,-104.224161,NAD27,10261.0,2668848.0,,Montana,Richland,1,False,False,,
7ccbd89d-1efb-41c8-b696-e6b83ab1a31b,7/22/2012 12:00:00 AM,7/22/2012 12:00:00 AM,25085218500000,25,85,Statoil Oil & Gas LP,Wilde 30-31 #1H,48.1564689,-104.1552217,NAD83,10238.0,3108750.0,,Montana,Roosevelt,1,False,False,,
55e1f95e-9a71-4e3e-999f-d31dcc72fb30,7/22/2012 12:00:00 AM,7/22/2012 12:00:00 AM,25087217340000,25,87,Fidelity Exploration & Production,Coffee 31-2H,46.654947,-107.53425666,NAD83,,,,Montana,Rosebud,1,False,False,,
8cea3426-9c0a-435c-a18c-b0e994217c7b,7/25/2012 12:00:00 AM,7/25/2012 12:00:00 AM,25085218310000,25,85,"G3 Operating, LLC.",Sorensen 1-34-27H,48.0,-104.0,NAD83,,,,North Dakota,Williams,1,False,False,,
907bbd52-cf73-43d4-9ee4-637219e8328a,7/26/2012 12:00:00 AM,7/26/2012 12:00:00 AM,25083229970000,25,83,"Slawson Exploration Company, Inc.",Dragonfly 1-36H,47.716849,-104.725124,NAD83,9985.0,1253028.0,,Montana,Richland,1,False,False,,
5ad3bd80-d49c-4b68-b931-611b58da4de0,8/3/2012 12:00:00 AM,8/3/2012 12:00:00 AM,25083229630000,25,83,Whiting Petroleum,Double Bar M 24-32H,48.042069,-104.386367,NAD83,,,,Montana,Richland County,1,False,False,,
ca382be4-3b80-4353-9d63-64f50e8494b0,8/3/2012 12:00:00 AM,8/3/2012 12:00:00 AM,25085218490000,25,85,Statoil Oil & Gas LP,Willard 19-18 #1H,48.156,-104.155,NAD83,10116.0,3327514.0,,Montana,Roosevelt,1,False,False,,
5c80338d-594c-47cd-8792-8aa5fbd4c1ae,8/5/2012 12:00:00 AM,8/5/2012 12:00:00 AM,25091219040000,25,91,"TAQA North USA, Inc.",Ward 11-5H,48.87,-104.05,WGS84,7825.0,367876.0,,Montana,Sheridan,1,False,False,,
